Filename,Average matched points,Average distance,Average process time (μs),Size
IMAGE 2020-10-04 20:16:47.jpg,0.024390,0.192400,518474,1280x960
IMAGE 2020-10-04 20:24:22.jpg,0.728972,0.195637,245034,960x1280
IMAGE 2020-10-04 21:58:00.jpg,0.750000,0.178338,335193,1280x960
IMAGE 2020-10-05 18:40:07.jpg,0.000000,0.155665,867916,1280x960
IMAGE 2020-10-05 18:42:16.jpg,0.011111,0.151086,698772,1280x960
IMAGE 2020-10-04 21:57:51.jpg,0.970414,0.164479,447502,1280x960
IMAGE 2020-10-05 18:52:13.jpg,0.000000,0.145393,1006297,1280x960
IMAGE 2020-10-04 21:57:53.jpg,0.000000,0.160807,309590,1280x960
IMAGE 2020-10-05 18:45:09.jpg,0.241379,0.130607,881426,1280x960
IMAGE 2020-10-05 18:42:28.jpg,0.000000,0.130049,1312334,1280x960
IMAGE 2020-10-04 20:16:44.jpg,0.000000,0.180769,458574,1280x960
IMAGE 2020-10-04 21:58:02.jpg,0.000000,0.178864,386964,1280x960
IMAGE 2020-10-04 20:11:59.jpg,0.597701,0.183668,445243,960x1280
IMAGE 2020-10-04 20:24:09.jpg,0.000000,0.173008,439402,1280x960
IMAGE 2020-10-04 20:24:35.jpg,0.135593,0.171227,860301,1280x960
IMAGE 2020-10-04 20:24:20.jpg,0.236842,0.164570,318107,1280x960
IMAGE 2020-10-05 18:39:48.jpg,0.000000,0.152257,1195110,1280x960
IMAGE 2020-10-05 18:40:10.jpg,0.044776,0.191657,458574,1280x960
IMAGE 2020-10-04 19:45:44.jpg,0.000000,0.162502,578859,1280x960
IMAGE 2020-10-04 20:35:59.jpg,0.000000,0.234258,425924,960x1280
IMAGE 2020-10-05 18:52:28.jpg,0.000000,0.152736,1169891,1280x960
IMAGE 2020-10-04 21:57:56.jpg,0.000000,0.165217,402714,1280x960
IMAGE 2020-10-05 18:42:11.jpg,0.166667,0.162258,848453,1280x960
IMAGE 2020-10-05 18:40:14.jpg,0.812500,0.186175,512579,1280x960
IMAGE 2020-10-04 19:47:51.jpg,0.000000,0.189135,805652,1280x960
IMAGE 2020-10-04 21:58:07.jpg,0.000000,0.194852,416341,1280x1077
IMAGE 2020-10-05 18:37:49.jpg,0.102041,0.174375,644658,960x1280
IMAGE 2020-10-04 20:24:18.jpg,0.696629,0.179192,549292,1280x960
IMAGE 2020-10-04 20:24:25.jpg,0.685484,0.195009,375249,1280x960
IMAGE 2020-10-05 18:44:59.jpg,0.241379,0.147600,1150118,1280x960
IMAGE 2020-10-05 18:40:01.jpg,0.000000,0.171988,667428,960x1280
